Word,Brothers_Karamazov,Murder_of_Roger_Ackroyd
"project",89,0
"gutenberg",41,0
"ebook",15,0
"brothers",55,0
"karamazov",179,0
"fyodor",305,0
"use",77,14
"anyone",5,35
"anywhere",12,3
"united",24,1
"states",20,2
"parts",19,3
"world",191,16
"cost",12,2
"almost",306,25
"whatsoever",5,1
"may",353,66
"copy",16,3
"give",321,39
"away",449,57
"terms",33,1
"license",14,0
"included",9,1
"online",5,0
"http",12,0
"//www",12,0
"located",7,0
"check",13,0
"laws",15,0
"country",21,12
"using",10,4
"author",11,0
"release",7,4
"date",6,4
"language",17,2
"english",5,5
"character",74,2
"set",119,15
"*",18,0
"start",13,6
"translated",5,0
"russian",99,3
"press",9,6
"new",158,18
"contents",1,5
"part",109,19
"book",62,4
"history",17,4
"family",77,14
"chapter",195,25
"pavlovitch",302,0
"ii",30,1
"gets",7,3
"rid",6,2
"eldest",7,1
"son",132,11
"iii",30,0
"second",79,11
"marriage",27,12
"iv",26,0
"third",43,5
"alyosha",1245,0
"v",23,1
"elders",21,0
"unfortunate",9,4
"gathering",8,0
"arrive",6,5
"monastery",125,0
"old",491,40
"buffoon",26,0
"peasant",93,0
"women",89,9
"faith",96,2
"lady",120,24
"little",476,160
"vi",20,0
"man",909,175
"alive",41,19
"vii",20,0
"young",247,49
"bent",21,4
"career",23,0
"viii",14,0
"scandalous",6,0
"scene",52,9
"sensualists",5,0
"servants",42,21
"quarters",7,2
"lizaveta",21,0
"confession",36,5
"passionate",15,0
"heart",378,10
"verse",12,0
"anecdote",18,0
"``",2,59
"''",3,15
"smerdyakov",383,0
"brandy",31,1
"ix",10,0
"x",10,1
"together",93,21
"xi",7,0
"another",284,29
"reputation",15,3
"ruined",27,2
"father",817,4
"ferapont",36,0
"meeting",40,5
"schoolboys",13,0
"hohlakovs",5,0
"laceration",12,0
"drawingroom",20,1
"cottage",19,0
"open",138,26
"air",66,13
"engagement",5,9
"guitar",8,0
"make",324,73
"friends",64,7
"rebellion",7,0
"grand",17,2
"inquisitor",12,0
"obscure",13,5
"one",1603,208
"always",268,69
"worth",56,7
"speaking",79,20
"clever",56,6
"monk",104,0
"zossima",104,0
"visitors",48,1
"duel",21,0
"conversations",10,0
"breath",34,5
"corruption",13,0
"critical",7,0
"moment",376,62
"onion",20,0
"cana",5,0
"galilee",5,0
"mitya",923,0
"kuzma",30,0
"samsonov",48,0
"lyagavy",19,0
"goldmines",17,0
"dark",72,15
"sudden",86,6
"resolution",17,0
"coming",115,33
"first",383,57
"rightful",6,0
"lover",21,1
"delirium",16,0
"preliminary",16,0
"investigation",5,2
"beginning",64,8
"perhotin",30,0
"official",41,1
"alarm",30,5
"sufferings",17,0
"soul",164,5
"ordeal",8,1
"prosecutor",185,0
"great",329,28
"secret",97,14
"received",64,11
"evidence",136,12
"witnesses",55,0
"babe",21,0
"carry",39,2
"boys",101,0
"kolya",212,0
"krassotkin",70,0
"children",163,2
"schoolboy",14,0
"lost",86,9
"dog",73,10
"ilusha",172,0
"bedside",7,1
"ivan",718,0
"grushenka",365,0
"injured",9,2
"foot",48,4
"demon",8,0
"hymn",16,0
"interview",18,14
"visit",51,10
"last",437,109
"devil",75,3
"nightmare",9,1
"said",996,781
"xii",5,0
"error",6,2
"fatal",43,4
"day",365,34
"dangerous",12,2
"medical",12,9
"experts",9,0
"pound",13,0
"nuts",11,0
"fortune",19,3
"catastrophe",23,0
"speech",59,2
"historical",7,0
"galloping",7,0
"troika",12,0
"end",153,21
"defense",50,0
"argument",9,0
"cuts",7,0
"ways",13,5
"money",434,66
"robbery",19,3
"murder",146,37
"either",84,13
"thought",395,76
"peasants",58,0
"stand",65,8
"firm",25,4
"plans",5,0
"escape",37,6
"lie",78,8
"becomes",13,1
"truth",140,64
"funeral",12,1
"stone",45,3
"alexey",163,0
"fyodorovitch",344,0
"land",11,1
"owner",12,0
"well",429,129
"known",98,24
"district",18,0
"still",376,52
"remembered",82,6
"among",104,4
"us",438,104
"owing",18,2
"gloomy",29,0
"tragic",13,1
"death",117,36
"happened",157,11
"thirteen",8,0
"years",198,33
"ago",116,26
"shall",424,32
"describe",18,6
"proper",14,4
"place",182,35
"present",79,18
"say",568,156
"landowner",10,0
"used",152,9
"call",59,35
"although",44,2
"hardly",56,18
"spent",56,0
"life",381,28
"estate",10,1
"strange",126,7
"type",8,3
"yet",297,32
"pretty",27,11
"frequently",7,2
"met",72,22
"abject",8,0
"vicious",10,1
"time",675,115
"senseless",20,0
"persons",28,2
"capable",24,4
"looking",206,28
"worldly",10,0
"affairs",13,4
"apparently",35,3
"nothing",407,80
"else",125,31
"instance",60,14
"began",364,24
"next",95,21
"ran",175,10
"dine",7,2
"men",216,12
"tables",5,1
"fastened",8,2
"appeared",53,10
"hundred",146,10
"thousand",288,15
"roubles",190,0
"hard",37,12
"cash",5,2
"fellows",13,1
"whole",289,30
"repeat",53,1
"stupidity",6,1
"majority",8,0
"intelligent",7,0
"enough",120,36
"peculiar",34,10
"national",8,1
"form",30,0
"married",49,16
"twice",33,6
"three",442,39
"sons",14,0
"dmitri",380,0
"wife",108,12
"two",378,94
"adelaïda",14,0
"ivanovna",222,0
"belonged",8,0
"fairly",13,7
"rich",40,5
"distinguished",14,1
"noble",32,0
"also",55,25
"landowners",5,0
"came",296,109
"pass",86,6
"beauty",34,1
"moreover",20,0
"vigorous",7,0
"girls",54,9
"common",25,5
"generation",8,0
"sometimes",123,10
"found",128,50
"could",660,96
"worthless",5,2
"called",136,14
"attempt",11,3
"explain",60,12
"knew",228,43
"romantic",8,1
"enigmatic",7,0
"passion",27,0
"gentleman",41,7
"might",288,87
"quite",238,94
"easily",10,4
"invented",18,3
"ended",26,1
"throwing",13,3
"night",180,82
"rather",127,55
"deep",32,3
"rapid",21,0
"river",8,0
"high",44,4
"bank",10,0
"entirely",25,4
"satisfy",12,5
"like",666,112
"indeed",136,42
"chosen",9,0
"favorite",9,0
"spot",35,5
"less",39,7
"flat",8,1
"likely",44,16
"suicide",16,7
"would",1102,158
"never",376,88
"taken",166,28
"fact",194,37
"probably",36,11
"similar",7,2
"generations",6,0
"miüsov",79,0
"action",39,3
"doubt",97,15
"people",325,32
"ideas",48,11
"due",29,2
"irritation",12,0
"caused",13,4
"lack",12,3
"mental",8,3
"freedom",54,2
"wanted",126,28
"perhaps",405,42
"show",99,11
"feminine",10,0
"independence",5,1
"class",30,1
"imagination",13,2
"persuaded",23,4
"must",530,146
"suppose",76,30
"brief",22,0
"spite",80,10
"position",72,22
"bold",17,0
"ironical",9,0
"spirits",16,2
"though",836,61
"gave",138,43
"preceded",5,0
"greatly",35,0
"captivated",6,0
"fancy",56,15
"made",368,57
"specially",13,2
"eager",20,1
"passionately",11,0
"anxious",40,18
"way",295,85
"good",342,97
"obtain",11,0
"dowry",10,0
"mutual",6,0
"love",460,20
"exist",29,1
"bride",5,0
"case",148,45
"kind",67,54
"temper",24,1
"ready",109,8
"run",121,8
"slightest",28,0
"seems",40,30
"woman",226,35
"particular",18,12
"appeal",8,3
"senses",5,0
"immediately",65,14
"flash",7,3
"feeling",146,9
"husband",32,19
"contempt",45,0
"showed",50,13
"true",153,22
"extraordinary",50,10
"rapidity",5,0
"accepted",20,7
"event",11,1
"quickly",83,11
"lead",23,7
"everlasting",12,0
"generosity",11,0
"dignity",33,1
"got",228,98
"hold",67,14
"twentyfive",16,0
"soon",166,19
"thousands",28,0
"ever",186,31
"village",20,29
"fine",38,3
"town",206,6
"house",217,71
"formed",16,1
"utmost",24,2
"long",337,33
"name",81,30
"means",92,10
"deed",13,1
"succeeded",30,3
"merely",18,8
"moral",30,3
"desire",34,7
"get",268,49
"aroused",10,0
"persistent",10,1
"shameless",13,1
"intervened",9,0
"took",195,78
"rumor",6,0
"beat",38,1
"beaten",18,0
"impatient",14,2
"possessed",11,1
"remarkable",15,2
"physical",10,1
"strength",38,1
"finally",20,5
"left",237,67
"divinity",6,1
"student",11,0
"leaving",33,18
"child",132,19
"hands",235,22
"introduced",11,2
"regular",29,2
"abandoned",16,1
"drunkenness",11,0
"intervals",7,0
"drive",24,7
"province",18,0
"complaining",10,0
"going",259,61
"details",32,6
"disgraceful",15,1
"mention",29,5
"regard",14,2
"seemed",210,48
"play",44,11
"ridiculous",18,5
"think",281,159
"promotion",7,0
"seem",40,19
"pleased",46,8
"sorrow",20,0
"many",197,26
"even",652,34
"added",108,13
"glad",74,11
"simply",186,11
"pretended",10,0
"unaware",5,0
"knows",78,29
"simplicity",11,1
"getting",54,12
"poor",111,29
"turned",191,42
"petersburg",47,0
"gone",121,28
"thrown",20,0
"complete",49,4
"emancipation",6,0
"making",75,7
"go",621,83
"object",72,15
"really",181,67
"determined",21,3
"felt",196,30
"journey",14,0
"reckless",14,2
"drinking",25,3
"news",34,11
"died",49,16
"suddenly",585,25
"garret",8,0
"according",40,5
"story",108,32
"drunk",92,0
"heard",243,77
"street",49,4
"shouting",31,1
"joy",63,1
"raising",8,3
"heaven",66,1
"lord",76,1
"thou",144,0
"thy",53,0
"servant",69,4
"depart",7,2
"peace",38,1
"others",85,15
"wept",16,0
"without",398,40
"restraint",6,0
"much",296,81
"sorry",49,8
"repulsion",12,1
"possible",62,27
"rejoiced",7,0
"released",5,1
"general",64,6
"rule",21,3
"wicked",19,3
"naïve",5,0
"simplehearted",10,0
"imagine",44,10
"bring",98,8
"behavior",10,0
"exactly",36,40
"expected",44,16
"completely",70,8
"malice",7,2
"forgot",27,2
"every",440,22
"tears",136,0
"turning",61,9
"sink",12,0
"debauchery",9,0
"faithful",9,0
"grigory",192,0
"care",75,9
"looked",328,88
"change",41,6
"baby",30,2
"shirt",27,0
"relations",27,3
"mother",189,22
"side",107,31
"longer",24,11
"living",68,8
"widow",36,6
"grandmother",6,0
"moved",52,14
"moscow",96,0
"seriously",18,9
"ill",85,3
"daughters",12,1
"remained",44,9
"year",61,27
"charge",32,1
"lived",51,1
"altogether",47,1
"existence",26,0
"sent",132,15
"back",367,87
"cousin",5,1
"pyotr",132,0
"alexandrovitch",39,0
"return",47,7
"paris",13,3
"afterwards",153,14
"abroad",15,0
"enlightened",5,1
"european",10,0
"culture",7,0
"towards",63,13
"became",64,12
"liberal",10,0
"course",271,70
"come",776,101
"contact",13,0
"russia",81,0
"personally",6,2
"fond",73,9
"describing",11,0
"days",166,10
"fighting",7,1
"grateful",19,4
"youth",48,1
"independent",8,3
"property",26,2
"souls",14,0
"reckon",9,0
"style",17,1
"splendid",21,1
"lay",98,10
"famous",16,1
"concerning",11,1
"rights",17,0
"forest",12,0
"know",848,218
"regarded",11,7
"duty",41,11
"citizen",6,2
"attack",25,0
"upon",254,30
"hearing",30,2
"interested",31,12
"learning",15,0
"youthful",13,0
"indignation",25,0
"latter",25,12
"acquaintance",29,4
"told",360,66
"directly",62,3
"wished",5,7
"education",24,0
"tell",525,101
"characteristic",19,2
"touch",26,5
"speak",215,34
"understand",257,31
"talking",115,23
"surprised",58,22
"hear",139,24
"exaggerated",9,3
"something",416,111
"acting",11,3
"playing",24,3
"unexpected",36,1
"motive",24,12
"direct",15,4
"habit",19,12
"however",81,12
"number",27,5
"ones",33,6
"carried",71,2
"business",88,22
"vigorously",9,0
"guardian",5,0
"small",59,26
"keeping",37,7
"haste",76,0
"boy",214,12
"especially",91,4
"broke",74,11
"impression",40,14
"mind",227,47
"rest",80,4
"passed",74,24
"believe",349,59
"changed",36,9
"home",119,34
"fourth",11,1
"later",134,29
"essential",21,1
"facts",37,17
"begin",87,11
"grew",30,3
"belief",15,2
"age",44,3
"irregular",6,0
"finish",24,2
"studies",8,0
"gymnasium",5,0
"military",7,3
"school",39,0
"went",447,128
"caucasus",6,0
"fought",5,0
"degraded",7,0
"ranks",6,0
"earned",6,0
"led",51,11
"wild",35,4
"deal",45,9
"receive",21,1
"debt",19,1
"saw",188,77
"visited",29,2
"neighborhood",15,0
"purpose",75,8
"settle",20,0
"liked",37,7
"stay",91,9
"sum",60,7
"entering",20,2
"agreement",24,0
"future",58,3
"value",16,3
"unable",37,1
"worthy",17,0
"note",87,5
"occasion",18,0
"statement",29,8
"remarked",5,29
"noted",20,2
"vague",11,4
"idea",127,56
"satisfied",20,14
"fell",82,10
"gathered",18,1
"frivolous",19,0
"unruly",7,0
"violent",37,0
"passions",11,0
"short",80,14
"take",345,49
"advantage",16,3
"sending",16,2
"four",85,9
"losing",15,1
"patience",6,1
"amazement",21,0
"difficult",29,10
"account",72,18
"sums",3,5
"various",8,5
"entered",52,12
"previous",18,1
"right",249,66
"expect",32,4
"anything",207,53
"overwhelmed",13,1
"suspected",25,7
"beside",67,4
"circumstance",20,0
"subject",51,15
"external",5,0
"origin",6,0
"shortly",11,1
"lasted",8,1
"eight",30,5
"sofya",6,0
"girl",82,69
"piece",48,14
"company",24,3
"jew",7,0
"capital",12,0
"managed",15,3
"daughter",45,3
"deacon",5,0
"childhood",38,0
"orphan",9,0
"wealthy",5,3
"benefactress",5,0
"tormentor",5,0
"meek",12,0
"gentle",24,1
"creature",68,2
"cut",45,6
"hanging",20,3
"nail",7,0
"terrible",102,7
"become",108,3
"insufferable",5,0
"offer",23,2
"inquiries",6,8
"refused",24,11
"proposed",6,1
"besides",70,0
"except",54,7
"better",176,32
"bottom",25,2
"remaining",5,0
"exchanged",8,0
"benefactor",14,0
"penny",10,3
"furious",14,0
"cursed",12,0
"reckoned",14,2
"innocent",37,8
"appearance",37,6
"profligate",7,0
"hitherto",13,0
"eyes",323,53
"loathsome",9,0
"mean",152,61
"sensual",10,0
"ceremony",7,2
"feel",106,6
"wronged",13,0
"trample",6,0
"loose",8,0
"presence",38,7
"things",150,84
"stupid",65,8
"obstinate",7,1
"hated",26,1
"mistress",30,1
"cause",38,5
"abusing",6,0
"manner",16,33
"drove",26,9
"unhappy",56,0
"kept",140,14
"terror",33,2
"nervous",36,4
"disease",17,0
"devils",12,0
"times",122,15
"fits",14,2
"hysterics",19,0
"reason",98,17
"bore",10,0
"dream",72,5
"thing",175,80
"elder",209,0
"brother",288,5
"forgotten",82,6
"brought",163,31
"insult",25,0
"done",143,38
"exact",9,9
"information",17,25
"illness",35,1
"hideous",7,0
"surroundings",8,1
"declared",43,12
"aloud",54,6
"god",405,9
"punished",15,1
"months",48,8
"straight",92,17
"half",115,25
"hour",124,22
"evening",105,49
"seen",154,42
"instantly",50,2
"seeing",81,7
"sort",137,12
"explanation",24,10
"face",399,59
"seized",38,2
"hair",39,13
"shook",22,32
"word",216,30
"glance",19,11
"dirty",16,0
"linen",15,0
"promptly",8,0
"box",20,2
"ear",12,1
"wrapped",7,2
"put",276,48
"carriage",30,0
"blow",21,4
"devoted",12,3
"slave",12,1
"low",44,15
"bow",34,4
"pronounced",24,0
"impressively",13,1
"repay",13,0
"shouted",76,1
"thinking",87,11
"decided",52,4
"refuse",29,0
"formal",6,3
"consent",23,0
"given",130,11
"telling",60,9
"condition",32,1
"till",162,7
"fit",67,5
"throw",27,4
"let",370,50
"read",112,30
"queer",7,9
"expressed",30,2
"yefim",11,0
"petrovitch",11,0
"nobility",6,0
"honest",28,7
"writing",14,4
"cases",26,5
"sentimental",5,0
"personal",17,4
"interest",44,12
"younger",15,1
"beg",55,11
"reader",12,0
"humanity",38,0
"rarely",17,0
"bringing",21,5
"doubled",5,0
"educated",11,1
"expense",15,0
"certainly",84,25
"far",112,30
"enter",24,2
"important",66,13
"events",11,2
"somewhat",27,10
"reserved",5,0
"timid",18,0
"ten",68,57
"realized",28,9
"early",30,18
"least",93,37
"brilliant",10,1
"precisely",25,4
"experienced",6,0
"celebrated",11,0
"teacher",18,0
"friend",65,60
"declare",15,3
"works",36,0
"trained",7,2
"neither",23,9
"finished",40,9
"university",9,0
"payment",8,0
"legacy",1,6
"grown",29,0
"formalities",5,1
"inevitable",17,1
"forced",21,11
"keep",120,11
"studying",6,3
"pride",44,1
"cool",8,1
"sense",51,7
"real",57,13
"assistance",14,2
"work",105,22
"giving",33,6
"lessons",11,0
"paragraphs",6,1
"newspapers",7,2
"interesting",29,23
"alone",135,12
"practical",11,2
"intellectual",9,0
"masses",6,0
"hang",22,6
"entreaties",5,0
"copying",7,0
"french",13,4
"connection",6,2
"published",5,1
"books",14,2
"special",44,6
"subjects",8,0
"literary",18,0
"attention",26,20
"circle",7,1
"noticed",67,19
"curious",14,14
"incident",24,0
"preparing",11,0
"article",17,6
"attracted",10,3
"notice",34,7
"supposed",16,3
"natural",31,2
"science",24,1
"everywhere",20,1
"ecclesiastical",5,0
"courts",9,0
"several",70,15
"opinions",5,0
"view",26,6
"striking",8,1
"tone",37,17
"conclusion",35,2
"church",123,3
"party",17,6
"joined",7,14
"applause",9,0
"impudent",5,0
"particularly",68,5
"question",161,61
"bewildered",11,3
"native",6,0
"amongst",3,10
"remember",207,46
"asking",48,17
"certain",107,38
"uneasiness",13,1
"fateful",6,0
"step",44,6
"leading",22,1
"consequences",9,0
"fully",32,2
"explained",44,24
"learned",35,1
"proud",55,2
"circumstances",18,9
"afraid",169,21
"ask",164,37
"staying",15,9
"best",49,15
"wonder",28,16
"spoken",22,3
"already",155,14
"extremely",31,4
"argued",6,0
"inner",14,1
"pang",7,0
"compared",11,0
"want",290,60
"see",610,167
"taste",10,0
"drink",62,4
"dissipation",5,0
"unmistakable",7,0
"influence",26,1
"positively",64,5
"obey",6,0
"often",93,6
"partly",10,1
"request",17,5
"matter",92,44
"learn",16,3
"figure",25,11
"mysterious",18,8
"add",28,1
"light",89,9
"quarrel",12,0
"planning",6,0
"members",6,1
"lives",32,4
"find",157,46
"hero",20,0
"wearing",26,7
"cassock",9,0
"novice",15,0
"yes",337,129
"willing",6,1
"twenty",53,13
"opinion",61,8
"mystic",10,0
"full",99,8
"adopted",5,4
"monastic",6,0
"struck",102,9
"ideal",19,0
"struggling",14,0
"darkness",26,0
"wickedness",11,0
"attached",7,0
"warm",22,0
"ardent",5,0
"dispute",9,0
"mentioned",22,11
"stood",160,27
"memories",14,0
"earlier",7,7
"scarcely",51,0
"standing",76,7
"lifetime",6,1
"corner",70,6
"torn",22,1
"huge",13,1
"picture",15,3
"disappeared",15,4
"summer",15,3
"window",96,61
"slanting",5,0
"setting",18,5
"sun",28,1
"recalled",16,1
"room",232,83
"holy",93,0
"image",29,0
"lighted",28,0
"lamp",5,1
"knees",34,1
"sobbing",15,0
"hysterically",8,0
"cries",23,1
"arms",54,1
"close",55,15
"hurt",24,5
"praying",25,0
"holding",27,2
"nurse",9,0
"runs",6,1
"minute",146,61
"frenzied",12,0
"beautiful",23,10
"cared",9,3
"memory",21,2
"expansive",5,0
"talked",78,3
"contrary",77,3
"different",77,12
"forget",61,6
"throughout",15,0
"implicit",5,0
"trust",19,6
"person",73,29
"judge",38,1
"condemn",16,1
"accept",36,2
"everything",274,46
"condemnation",6,0
"grieving",8,0
"bitterly",22,2
"surprise",55,17
"frighten",11,1
"filthy",14,0
"pure",13,0
"withdrew",10,3
"silence",81,28
"look",294,38
"sign",46,5
"dependent",6,1
"sensitive",15,0
"offense",15,0
"thinks",21,5
"within",38,5
"fortnight",19,1
"embracing",8,0
"kissing",19,0
"terribly",29,2
"drunken",32,0
"sentimentality",12,1
"evidently",44,5
"affection",10,0
"loved",106,1
"wherever",7,0
"household",7,8
"gained",18,1
"hearts",36,1
"tender",25,0
"acted",11,3
"design",14,0
"gift",11,0
"unconsciously",18,1
"nature",61,10
"disliked",17,0
"schoolfellows",13,0
"solitary",12,0
"creeping",5,1
"merry",17,0
"bright",25,1
"tried",72,6
"understood",45,7
"resented",6,3
"happen",36,7
"address",9,3
"answer",131,23
"expression",71,5
"intentionally",10,0
"forgiven",18,0
"conquered",8,0
"top",24,8
"amused",6,5
"bear",53,4
"words",213,38
"unhappily",6,1
"impossible",76,12
"pictures",7,0
"images",5,0
"soldiers",8,2
"knowledge",30,10
"conception",7,1
"familiar",12,4
"higher",29,0
"classes",8,0
"corrupt",5,0
"cynicism",7,0
"subtle",6,2
"daring",6,0
"fingers",35,5
"ears",22,6
"crowd",27,0
"round",125,52
"pull",19,0
"shout",21,1
"struggled",10,0
"slipped",10,7
"floor",58,3
"hide",18,9
"uttering",7,1
"abuse",9,1
"compassion",13,0
"weakness",16,7
"provincial",7,0
"consisted",8,0
"live",85,8
"distant",5,0
"ladies",75,8
"whose",47,6
"respect",46,1
"poverty",11,0
"maintained",13,0
"efforts",10,0
"conscious",26,1
"trait",5,1
"severely",14,1
"religious",14,1
"possession",20,0
"large",43,15
"rogue",9,0
"asked",276,134
"weeks",16,2
"knowing",54,11
"honesty",7,1
"following",23,11
"judgment",21,2
"leave",99,28
"unknown",19,3
"million",10,0
"harm",28,5
"die",54,1
"cold",51,5
"effort",16,3
"humiliation",6,0
"burden",8,0
"pleasure",14,6
"announced",17,7
"plan",37,4
"occurred",17,12
"unwilling",9,0
"expensive",5,0
"watch",49,4
"parting",9,3
"provided",13,1
"clothes",30,3
"returned",27,11
"saying",77,22
"intended",14,4
"arrival",27,3
"inquiry",32,3
"thoughtful",10,0
"apparent",14,3
"tomb",9,0
"practically",9,4
"drawn",21,11
"irresistibly",9,0
"path",32,18
"buried",13,2
"grave",34,9
"since",143,33
"earth",139,7
"coffin",50,0
"previously",7,6
"lot",44,22
"jews",7,0
"alike",7,3
"period",10,3
"developed",6,0
"faculty",5,0
"former",24,4
"acquaintances",5,0
"aged",6,1
"behaved",25,1
"insolent",10,0
"revolting",12,0
"opened",75,27
"taverns",13,0
"evident",24,1
"security",13,0
"late",76,18
"somehow",34,3
"sunk",10,0
"letting",9,3
"dead",91,24
"crazy",38,0
"pointed",27,5
"remote",12,0
"deceased",14,1
"oldfashioned",6,2
"tombs",5,0
"emotion",25,2
"sight",44,7
"listened",59,9
"solemn",8,2
"bowed",35,6
"head",196,73
"walked",76,8
"episode",11,0
"original",10,1
"pay",41,9
"thrash",9,0
"monks",79,0
"candle",20,0
"saint",36,0
"impulses",6,0
"countenance",10,4
"testified",6,0
"unmistakably",8,0
"fat",9,3
"apple",7,1
"hung",5,4
"sharp",15,4
"mouth",24,3
"lips",71,8
"black",39,17
"teeth",19,2
"fun",11,0
"point",90,32
"nose",42,3
"delicate",6,3
"roman",8,0
"ancient",16,0
"visiting",5,0
"strong",53,5
"solemnly",13,5
"hermitage",33,0
"observed",87,15
"listening",46,4
"seeming",21,1
"h",14,6
"grinned",9,1
"slow",8,0
"grin",14,4
"cunning",13,0
"presentiment",14,0
"sure",94,48
"desert",9,0
"angel",52,0
"worry",23,8
"spend",26,1
"week",49,6
"near",47,16
"outside",18,26
"none",23,10
"wives",12,2
"thirty",29,0
"worst",25,3
"awfully",49,1
"fast",18,1
"plenty",11,1
"along",55,25
"admit",36,18
"lose",32,3
"opportunity",16,10
"pray",44,1
"sinners",11,0
"sinned",11,0
"whether",134,13
"dear",177,44
"drag",6,1
"hell",34,6
"hooks",9,0
"iron",7,1
"ceiling",5,2
"makes",36,7
"breaks",6,0
"justice",41,2
"gently",20,7
"described",38,4
"l",5,0
"darling",29,0
"sing",16,0
"anyway",40,10
"easier",7,1
"dare",73,7
"hope",47,12
"wits",6,2
"burn",9,0
"healed",8,0
"wait",90,7
"condemned",10,0
"help",97,21
"sickly",7,0
"ecstatic",6,0
"pale",58,5
"consumptive",5,0
"lad",14,6
"radiant",6,0
"health",19,3
"handsome",12,8
"tall",21,6
"brown",6,8
"gray",20,0
"shining",16,2
"serene",6,0
"red",30,7
"cheeks",16,5
"mysticism",9,0
"realist",7,0
"oh",296,55
"believed",63,4
"miracles",25,0
"genuine",18,2
"miraculous",13,0
"miracle",34,0
"spring",14,2
"believes",11,1
"bound",36,10
"realism",9,0
"solely",8,0
"desired",16,1
"possibly",23,8
"dull",12,3
"presented",12,2
"offering",9,0
"extent",9,2
"seeking",17,2
"believing",24,0
"serve",24,2
"immediate",9,3
"sacrifice",21,0
"fail",10,3
"five",102,21
"six",46,11
"study",15,45
"powers",8,3
"serving",6,0
"goal",9,0
"utterly",22,3
"beyond",43,4
"chose",5,2
"opposite",24,4
"direction",10,5
"thirst",13,0
"swift",5,1
"reflected",18,4
"convinced",49,6
"immortality",21,0
"instinctively",13,1
"atheist",8,0
"socialist",9,0
"socialism",8,0
"labor",6,0
"today",130,7
"tower",8,0
"built",16,3
"written",64,6
"hast",28,0
"follow",36,1
"wouldst",13,0
"perfect",32,12
"instead",49,16
"mass",18,1
"held",49,24
"brooding",9,1
"monasteries",10,0
"try",38,5
"authorities",12,0
"assert",8,0
"institution",17,1
"recent",5,0
"orthodox",9,0
"east",7,5
"athos",5,0
"existed",12,0
"overtook",5,0
"civil",7,2
"destruction",7,0
"revived",9,1
"century",7,0
"païssy",73,0
"exists",10,0
"innovation",6,0
"dying",26,0
"relics",5,0
"saints",15,0
"ikons",15,0
"glorious",5,0
"flocked",5,0
"miles",5,4
"choose",21,2
