Word,Brothers_Karamazov,Murder_of_Roger_Ackroyd
"renounce",12,0
"yield",5,0
"submission",6,0
"self",13,2
"voluntarily",5,0
"order",42,11
"obedience",11,0
"attain",14,2
"finding",11,4
"founded",14,0
"theory",21,15
"established",18,0
"practice",9,3
"ordinary",25,5
"obligation",5,0
"submitted",9,0
"bond",6,0
"christianity",8,0
"command",9,0
"laid",39,15
"suffer",34,2
"torture",13,0
"martyr",11,1
"ye",5,0
"containing",5,1
"body",23,22
"cast",16,2
"forth",27,0
"learnt",27,2
"broken",31,6
"therefore",28,8
"deeds",11,0
"legend",14,0
"sacred",19,0
"refuge",5,0
"jerusalem",5,0
"homage",6,0
"places",8,2
"north",8,1
"siberia",38,0
"thee",71,0
"besought",11,0
"replied",19,13
"power",35,2
"inexplicable",5,0
"authority",9,0
"meantime",11,0
"highly",19,2
"esteemed",6,0
"distinction",6,0
"confess",45,7
"doubts",13,2
"sins",25,0
"counsel",33,1
"sacrament",17,0
"continual",15,2
"opening",14,3
"becoming",12,2
"test",2,5
"slavery",5,0
"weapon",18,4
"humility",11,1
"bondage",5,0
"army",10,0
"served",14,0
"officer",48,3
"impressed",24,1
"quality",3,6
"cell",63,0
"absent",7,0
"wore",15,5
"dress",22,1
"deeply",12,0
"stirred",8,2
"past",52,25
"advice",20,3
"healing",9,0
"suffering",85,1
"conscience",64,4
"astounded",7,1
"alarmed",19,2
"secrets",8,4
"apprehension",8,0
"happy",65,6
"faces",22,2
"stern",18,2
"gay",10,1
"sinful",11,0
"greater",28,3
"sinner",12,0
"silent",106,7
"older",12,5
"strict",9,1
"warmly",33,1
"sincerely",16,1
"glory",27,1
"flew",43,0
"sick",38,0
"falling",17,0
"feet",71,19
"thank",43,19
"spiritual",26,0
"triumph",13,3
"beamed",5,2
"gates",17,8
"waiting",65,9
"blessing",25,0
"kissed",55,1
"spoke",82,32
"prayer",33,0
"blessed",27,0
"dismissed",5,7
"weak",57,7
"attacks",9,0
"waited",37,5
"humble",27,1
"worn",10,6
"grief",39,3
"sin",58,1
"greatest",27,3
"need",112,16
"comfort",24,1
"fall",57,3
"worship",19,0
"temptation",14,0
"somewhere",35,6
"exalted",6,0
"promise",32,2
"weeping",35,0
"conviction",25,0
"stronger",9,0
"ecstasy",21,0
"burnt",13,0
"strongly",5,1
"troubled",16,2
"example",10,0
"carries",5,0
"kingdom",11,0
"christ",53,0
"arrived",35,14
"intimate",12,0
"naturally",23,12
"expecting",38,3
"ashamed",82,2
"curiously",4,14
"embarrassment",5,2
"indifference",5,0
"wondered",39,12
"absence",12,3
"curiosity",39,5
"sympathy",13,3
"fancying",6,0
"inward",5,1
"striving",5,0
"foolish",24,7
"uneasy",24,9
"nearer",10,0
"affair",18,10
"enthusiastic",6,0
"personality",6,4
"unlike",6,2
"pretext",5,0
"false",23,2
"stage",10,1
"insufferably",5,0
"strained",8,2
"suggest",8,6
"joke",29,3
"meet",62,20
"understanding",23,3
"trying",59,13
"secretly",11,6
"blamed",7,0
"occasions",14,1
"challenge",15,1
"apart",31,1
"caught",57,10
"eagerly",13,4
"diversion",7,3
"dragged",11,0
"superior",52,4
"visitor",31,1
"intentions",5,1
"consideration",12,1
"simple",32,21
"deny",17,2
"consented",5,2
"fixed",41,4
"motives",10,4
"insulting",13,0
"aware",27,2
"contemplating",6,0
"buffoonery",8,0
"thoroughly",8,3
"awaited",7,0
"heavy",11,4
"pondering",13,0
"chief",42,7
"anxiety",25,2
"concerned",10,5
"trembled",10,0
"dreaded",7,0
"courteous",6,0
"irony",6,0
"supercilious",7,0
"venture",17,0
"thoughts",32,5
"promised",29,5
"answered",125,9
"letter",111,19
"provoked",6,0
"vileness",5,0
"unworthy",11,0
"farce",6,1
"nevertheless",5,6
"bite",5,0
"tongue",25,4
"reverence",22,0
"wrote",47,6
"cheered",5,0
"halfpast",6,0
"eleven",20,1
"service",42,2
"valuable",5,5
"horses",35,2
"relative",6,0
"kalganov",67,0
"persuade",14,3
"nice",31,9
"gaze",6,4
"stare",14,4
"awkward",6,3
"talkative",6,0
"laugh",87,10
"vanished",10,3
"dressed",43,2
"expectations",6,3
"pair",2,15
"behind",78,22
"informed",19,1
"precincts",6,0
"assumed",10,2
"ease",10,2
"crossing",12,1
"rank",17,1
"surrounded",8,2
"beggars",6,0
"purse",6,2
"embarrassed",8,4
"hurriedly",29,2
"equally",5,3
"companions",8,0
"remark",16,7
"overcome",12,0
"honor",85,0
"cultured",5,0
"decision",28,1
"personage",5,0
"paid",30,13
"lying",85,9
"rapidly",14,5
"changing",6,0
"anger",50,3
"passing",33,6
"elderly",8,1
"overcoat",13,7
"lifting",7,0
"hat",15,5
"maximov",64,0
"difficulty",15,8
"paces",21,0
"copse",18,0
"gate",43,8
"across",26,15
"sixty",10,2
"sideways",9,3
"incredible",11,1
"degree",9,3
"starting",9,0
"granted",9,10
"audience",22,0
"showing",26,1
"accompany",4,6
"snapped",18,1
"incoherent",7,1
"talk",127,14
"medium",8,1
"height",7,2
"cap",20,2
"stopped",59,14
"profound",14,1
"gentlemen",211,3
"clock",49,26
"addressing",28,0
"cried",476,30
"delighted",39,4
"behave",9,0
"properly",14,1
"turn",73,11
"dinner",35,18
"conduct",12,2
"engaged",9,7
"please",37,13
"hesitated",9,13
"von",23,0
"sohn",20,0
"ah",122,36
"advise",6,1
"control",14,1
"fool",55,9
"intend",7,1
"associated",9,0
"decent",9,2
"smile",104,10
"reply",29,12
"frowned",17,2
"centuries",14,0
"nonsense",66,12
"flashed",19,1
"shut",27,12
"cross",53,1
"sides",22,3
"rome",9,0
"saved",38,3
"eat",20,2
"goes",29,13
"portico",7,0
"rooms",25,2
"windows",20,4
"passage",44,1
"madame",113,3
"hohlakov",95,0
"shown",28,5
"visits",16,0
"allowed",23,5
"female",9,0
"sex",5,0
"warn",6,0
"stepping",7,2
"numbers",6,3
"rare",5,2
"autumn",5,1
"flowers",22,3
"growing",24,4
"space",14,1
"hand",251,85
"wooden",15,0
"jump",14,1
"stick",11,5
"steps",55,3
"foolishness",12,0
"thrashed",19,0
"announce",6,1
"compact",5,0
"agitated",8,1
"sarcastically",6,2
"advanced",5,2
"irritated",10,1
"annoyed",10,7
"lower",24,3
"bedroom",20,12
"awaiting",13,1
"librarian",6,0
"broad",14,0
"fresh",17,7
"narrow",8,0
"guests",17,2
"accompanied",10,5
"rose",38,22
"greeted",4,5
"touching",18,2
"ground",54,6
"performed",9,0
"fancied",31,7
"front",18,18
"ought",76,18
"politeness",7,1
"custom",5,1
"kiss",63,0
"bowing",17,1
"dignified",15,1
"gravity",5,3
"chair",76,41
"confused",10,2
"raised",49,15
"bless",29,0
"sit",92,9
"blood",122,4
"rushed",62,3
"sat",128,24
"mahogany",7,1
"sofa",70,2
"covered",38,4
"leather",10,2
"row",10,2
"wall",31,11
"chairs",7,5
"shabby",6,1
"door",156,108
"contained",10,1
"necessary",23,14
"furniture",6,0
"coarse",18,2
"ikon",10,0
"burning",19,0
"foreign",6,4
"artistic",6,0
"prints",1,9
"martyrs",6,0
"sold",8,2
"walls",21,3
"intent",7,2
"insight",8,1
"fifty",17,3
"taking",85,13
"legs",25,0
"thin",36,4
"numerous",9,0
"quick",8,7
"points",7,4
"temples",9,0
"beard",31,0
"smiled",74,9
"malicious",14,0
"petty",5,0
"twelve",22,3
"conversation",65,21
"apologize",10,2
"shuddered",9,1
"remembering",15,1
"king",5,32
"muttered",68,1
"wrong",41,22
"behold",11,1
"earnest",26,1
"alas",21,2
"amusing",14,0
"agreeable",8,0
"seven",33,7
"merchants",7,0
"captain",128,35
"police",51,37
"fair",22,3
"mr",28,184
"napravnik",5,0
"missed",8,2
"fire",40,20
"harmony",20,0
"comparison",5,0
"excuse",30,8
"allow",60,5
"calling",26,3
"followed",50,11
"honorable",24,0
"polite",9,4
"disgust",10,0
"foresaw",12,1
"jokes",5,0
"birth",17,0
"serious",34,3
"lodging",18,1
"wisdom",5,0
"philosopher",5,0
"diderot",11,0
"bishop",7,0
"lifted",16,3
"finger",40,7
"christened",5,0
"lies",51,0
"shaking",32,4
"voice",198,64
"forgive",158,5
"christening",7,0
"aunt",13,0
"forgetting",17,0
"impatience",20,1
"forty",21,5
"feelings",45,1
"admitted",23,17
"favor",26,0
"kneeling",8,0
"delicacy",8,0
"kindness",17,2
"penitence",8,0
"decide",37,1
"problem",5,1
"crisis",6,0
"amazed",13,1
"verge",7,0
"hopes",22,0
"unmoved",5,3
"rakitin",198,0
"intimately",5,0
"shameful",20,0
"foolery",7,0
"mistake",11,7
"honored",10,0
"confusion",25,3
"distress",12,3
"feeble",7,0
"disturb",10,4
"guest",12,3
"leap",5,1
"earnestly",9,4
"trouble",40,19
"root",5,1
"invite",8,1
"risk",6,2
"sake",74,3
"plunged",7,1
"uncertainty",6,0
"bare",16,1
"pierced",5,0
"worse",40,6
"shame",49,0
"gain",18,3
"eternal",20,0
"joking",20,0
"lust",12,0
"comes",62,15
"around",11,0
"gives",15,3
"offended",20,1
"pleasant",8,4
"nobody",13,11
"insulted",33,2
"mountain",9,0
"resentment",11,0
"feels",5,0
"grounds",12,1
"mixed",12,3
"meaning",30,7
"interrupt",6,1
"_lives",5,0
"saints_",5,0
"picked",18,5
"carrying",8,4
"deceived",20,5
"angry",103,5
"shaken",11,0
"excited",47,7
"perfectly",59,11
"clear",57,27
"sorts",26,4
"dining",7,3
"checked",8,0
"seat",29,7
"minutes",40,52
"goodhumored",9,0
"breathless",14,0
"persisted",18,2
"stopping",11,0
"quiet",43,6
"anticipation",5,0
"separate",7,2
"aside",38,7
"attractive",9,1
"lively",9,2
"fourteen",16,1
"paralyzed",5,0
"able",53,26
"walk",34,12
"wheeled",5,0
"charming",36,8
"gayety",5,0
"gleam",9,2
"mischief",10,1
"big",37,26
"intending",5,0
"connected",7,3
"devotion",9,0
"entreated",6,0
"happiness",52,1
"sitting",123,12
"invalid",10,0
"sought",5,1
"stole",20,2
"shrieking",5,0
"laying",16,2
"forehead",25,1
"ceased",31,0
"neighbors",8,0
"teachers",16,0
"avoid",16,2
"suitable",4,5
"severity",5,0
"confirm",11,1
"astonishment",13,0
"hopeless",7,0
"misery",12,0
"endure",30,1
"instant",61,5
"frantic",15,0
"evil",41,0
"spirit",54,4
"expectation",18,0
"touched",31,5
"effect",28,3
"singsong",5,0
"voices",8,9
"versts",9,0
"afar",6,0
"wasted",12,4
"gazing",16,2
"cheek",9,1
"resting",5,0
"peasantry",7,0
"consolation",6,0
"constant",6,1
"craving",9,0
"wound",12,2
"pilgrimage",8,0
"yesterday",110,24
"anguish",9,2
"nikita",7,0
"leaves",11,8
"boots",27,18
"wail",10,1
"master",61,12
"driver",13,0
"horse",16,0
"begun",38,0
"goods",6,0
"listen",109,7
"temple",9,0
"didst",45,0
"boldly",7,0
"angels",14,1
"rejoice",15,0
"weep",34,0
"surely",21,24
"rejoicing",8,0
"sighed",8,3
"singing",23,0
"says",74,19
"peep",6,0
"hidden",38,3
"yard",29,2
"drew",26,16
"bosom",10,0
"sobs",17,1
"hiding",19,12
"comforted",9,0
"mothers",7,1
"looks",18,12
"sees",20,0
"bitter",27,4
"sweet",31,2
"prayers",6,0
"unseen",6,1
"hateful",5,0
"dreams",27,0
"grieve",9,1
"send",76,5
"inquire",16,2
"merchant",31,0
"write",60,2
"ignorance",6,2
"queen",18,1
"reward",14,0
"glowing",10,0
"exhausted",27,1
"articulated",10,0
"softly",39,5
"slowly",33,23
"sank",27,2
"closer",5,1
"shudder",5,0
"cruelly",9,0
"whisper",29,2
"catch",30,6
"confessed",31,1
"fear",64,10
"truly",10,1
"commit",9,4
"infinite",15,0
"dismiss",5,1
"loves",37,2
"conceive",5,0
"righteous",18,0
"reconciled",5,0
"penitent",5,0
"pity",41,8
"priceless",5,0
"treasure",8,1
"signed",11,0
"neck",34,3
"healthy",5,1
"tiny",23,3
"copecks",9,0
"poorer",5,0
"thanks",13,3
"farewell",14,0
"shed",25,0
"wiped",6,3
"handkerchief",36,12
"society",55,3
"genuinely",17,1
"enthusiastically",6,0
"loving",32,0
"greatness",5,0
"begging",18,0
"prayed",17,0
"express",18,5
"gratitude",11,1
"lise",146,0
"thursday",7,1
"hastened",20,3
"pour",9,1
"morning",124,59
"slept",20,0
"rosy",5,0
"crying",61,2
"laughs",12,0
"insisted",17,2
"support",9,2
"dancing",12,1
"doctor",133,55
"herzenstube",32,0
"shrugged",10,8
"shoulders",30,11
"fly",30,0
"laughing",114,2
"clasped",14,0
"restrain",19,0
"laughter",25,3
"pointing",19,2
"childish",17,1
"vexation",8,0
"shone",6,1
"message",25,20
"attentively",10,2
"smiling",36,12
"strangely",20,2
"katerina",212,0
"handed",16,11
"asks",12,2
"lately",19,4
"wants",31,10
"christian",27,1
"protested",8,2
"perplexity",11,1
"lofty",24,0
"urgent",6,2
"entreaty",5,0
"generous",26,0
"mamma",80,1
"saving",17,1
"flushed",22,3
"watching",37,7
"entrance",19,2
"obdorsk",11,0
"sylvester",5,0
"member",8,4
"invited",12,3
"whenever",14,0
"referring",8,1
"relief",7,3
"cure",13,1
"proceed",7,5
"causes",6,0
"extraordinarily",8,2
"utter",16,0
"dared",9,2
"rush",11,1
"solve",7,0
"human",32,5
"assure",21,5
"lightly",9,0
"sincerity",7,2
"thankful",5,3
"menacing",8,0
"awful",72,2
"mechanically",13,4
"prove",25,3
"chance",21,13
"slip",7,1
"convince",7,0
"cares",8,0
"troubles",5,3
"experience",7,4
"active",15,1
"neighbor",8,0
"grow",21,3
"reality",22,1
"sister",25,50
"mercy",37,1
"wounds",5,0
"bind",5,0
"wash",10,0
"afflicted",5,0
"unawares",7,1
"fervently",5,0
"frantically",13,1
"agonizing",7,0
"patient",11,10
"worried",23,2
"services",5,0
"rudely",6,0
"happens",17,3
"horror",25,5
"praise",21,0
"otherwise",8,3
"incapable",15,1
"paroxysm",6,0
"defiant",6,0
"undoubtedly",8,0
"frankly",6,5
"jest",6,0
"actually",24,14
"faced",7,3
"twentyfour",7,0
"hours",49,8
"hate",31,4
"keeps",16,3
"blowing",5,1
"hostile",6,0
"despair",45,0
"distressed",11,0
"unto",15,0
"frankness",6,2
"phantom",8,0
"cease",5,0
"fashion",15,10
"crushed",22,1
"revealed",10,3
"sincere",18,0
"road",26,4
"scornful",6,0
"bad",45,24
"consequence",17,6
"frightened",48,0
"actions",10,5
"dreadful",19,7
"farther",8,2
"reach",14,4
"clearly",35,21
"mysteriously",8,1
"goodby",68,0
"deserve",15,0
"occupied",8,2
"mocking",6,0
"shy",6,0
"intently",26,0
"eye",31,14
"triumphantly",4,7
"disconcerted",10,0
"vexed",8,4
"hid",30,1
"irresistible",13,0
"force",28,6
"catching",8,0
"laughed",124,10
"naughty",8,0
"unexpectedly",17,1
"blushed",9,1
"nervously",18,4
"resentful",6,0
"teach",10,0
"manners",10,3
"gown",6,0
"tenderly",11,1
"pressed",17,4
"silly",31,2
"wanting",12,4
"share",15,4
"remarks",4,5
"treated",19,0
"increased",5,0
"irritability",7,0
"carelessness",6,0
"europe",7,0
"watched",21,8
"obviously",36,3
"bending",9,1
"shoulder",16,14
"teasing",8,0
"remain",27,6
"unseemly",23,0
"intelligence",18,4
"displayed",5,1
"intellect",15,0
"thrust",18,1
"discussion",7,1
"fearfully",15,0
"fainting",5,0
"white",42,8
"break",27,5
"iosif",19,0
"indicating",5,0
"forward",54,29
"court",107,1
"jurisdiction",8,0
"keenly",7,5
"takes",24,4
"continued",23,22
"state",62,5
"reserve",10,2
"elements",6,0
"principles",10,0
"normal",6,2
"foundation",33,2
"questions",86,20
"opponent",9,0
"holds",11,1
"precise",6,2
"maintain",10,0
"aim",9,1
"development",6,1
"assented",14,4
"fervor",5,0
"impatiently",11,2
"mountains",5,0
"observe",13,3
"fundamental",8,0
"social",15,0
"political",7,0
"secondly",7,0
"criminal",61,2
"divine",9,0
"objects",5,1
"refrain",5,0
"breaking",13,2
"gospel",20,0
"jesus",5,0
"ordained",8,0
"respectfully",17,2
"composure",16,2
"pagan",7,0
"inevitably",5,0
"stands",13,0
"drawing",5,1
"seek",8,5
"definite",11,1
"calls",10,3
"earthly",20,0
"transformed",10,0
"incongruous",6,0
"turns",6,1
"mistaken",20,5
"leads",7,5
"_on",5,0
"foundations",6,0
"judged",6,2
"temporary",5,0
"disappear",5,0
"modern",10,0
"demand",6,6
"reassured",7,0
"infinitely",9,2
"imagined",11,3
"meant",85,15
"criminals",5,1
"sentence",15,4
"beating",28,1
"prison",40,0
"crime",65,21
"calmly",8,1
"glanced",11,7
"heads",12,5
"strictly",6,6
"steal",18,1
"enemy",12,1
"continually",33,1
"mankind",26,0
"thief",47,3
"murderer",61,27
"attitude",14,1
"cutting",5,2
"salvation",19,0
"interrupted",40,11
"incomprehensible",6,0
"suspect",13,9
"punishment",23,1
"softening",6,0
"exile",7,0
"formerly",6,1
"single",16,1
"crimes",9,1
"increase",8,0
"preserved",12,0
"preserve",8,0
"law",37,1
"recognizing",5,1
"recognize",18,4
"accord",8,1
"tries",5,0
"convict",9,0
"reject",13,0
"fearful",20,0
"hatred",40,1
"fate",33,2
"proclaimed",6,0
"returns",5,2
"difference",16,3
"precious",36,2
"recognized",20,3
"differently",7,0
"succeed",7,1
"fallen",20,4
"continue",7,1
"heathen",5,0
"universal",17,0
"ages",15,0
"reckoning",16,0
"eve",11,0
"repeated",67,8
"reverently",7,0
"heat",6,0
"inquired",27,12
"cautiously",5,3
"sternly",18,1
"destiny",15,0
"star",6,0
"played",19,6
"throbbing",6,0
"profoundly",6,0
"casually",8,1
"color",10,0
"guessed",27,5
"excitement",45,3
"peculiarly",6,1
"government",9,0
"individual",12,1
"detective",1,15
"superintendent",10,7
"regiment",11,0
"powerful",9,1
"prompted",6,2
"seize",9,1
"report",11,0
"deigned",5,0
"quote",6,0
"dropped",28,15
"apply",5,1
"bush",6,1
"signs",20,3
"considerable",12,4
"prominent",8,0
"determination",8,1
"irritably",16,4
"mood",10,1
"betrayed",22,0
"startled",4,7
"witness",55,2
"easy",23,12
"roused",17,2
"stories",14,3
"happily",6,0
"carefully",14,7
"coat",51,7
"gloves",5,2
"combed",5,0
"glancing",5,2
"host",6,0
"rising",11,4
"intense",29,3
"valet",20,0
"interposed",8,2
"obliged",12,2
"goodness",23,0
"respectful",9,4
"considered",15,7
"beforehand",42,4
"equal",20,0
"response",5,0
"jumped",52,2
"impressive",5,1
"malignant",8,0
"generally",8,0
"resolute",8,2
"empty",17,6
"prepared",21,8
"irritable",12,0
"wellbred",5,0
"final",12,0
"notion",6,1
"feature",6,0
"appears",12,2
"permission",14,1
"drop",22,5
"destroy",22,0
"maintaining",5,0
"dried",7,0
"lawful",19,0
"cannibalism",5,0
"rational",8,0
"outcome",7,0
"uttered",40,0
"virtue",16,0
"probability",6,3
"flushing",9,0
"fretting",6,0
"likes",9,3
"driven",20,0
"meanwhile",22,0
"articles",6,1
"arguments",5,2
"aching",8,0
"inwardly",10,0
"heavens",21,0
"surprising",11,2
"pious",8,0
"flesh",7,1
"karl",5,0
"schiller",6,0
"count",11,0
"save",68,3
"faint",10,7
"leapt",27,1
"cultivated",7,0
"goodnatured",13,0
"scandal",13,0
"blame",50,1
"dreaming",11,0
"accuse",14,0
"cheated",5,0
"notes",91,5
"letters",11,9
"stranger",10,17
"proof",24,3
"respectable",9,2
"colonel",11,45
"breast",34,4
"betrothed",41,0
"enchantress",5,0
"everybody",16,6
"legal",12,1
"virtuous",7,0
"fathers",49,0
"key",8,5
"tear",23,0
"curse",22,0
"exclaimed",72,14
"furiously",11,0
"discharged",5,0
"publicly",5,0
"tavern",42,0
"mine",33,14
"trembling",47,0
"rage",20,1
"justify",6,1
"brute",9,2
"regret",16,2
"brutal",5,1
"suggested",21,24
"u",10,36
"reproach",16,1
"jealous",53,0
"create",10,0
"forgiveness",27,0
"vain",13,1
"game",18,9
"seats",7,2
"uneasily",10,0
"austere",6,0
"guidance",7,0
"imploring",8,0
"storm",6,0
"gesture",10,5
"humiliated",5,0
"hotly",10,1
"foresee",5,0
"yelled",8,0
"unnatural",11,1
"pistols",29,0
"stamping",5,0
"moments",38,2
"tremble",8,0
"wrath",16,0
"painfully",14,1
"soft",22,0
"wretch",15,0
"crimson",17,0
"deliberately",12,6
"parricide",18,0
"rushing",6,2
"environment",6,0
"eating",10,1
"gudgeon",5,0
"unendurable",5,0
"distracted",5,2
"arm",20,15
"distinctly",15,3
"failed",16,5
"spare",25,3
"kindly",18,6
"table",133,58
"amiable",6,0
"contemptible",6,0
"relation",24,3
"disturbance",5,0
"upset",22,10
"hesitating",6,1
"noticing",11,2
"waved",14,0
"abruptly",12,3
"regardless",11,0
"confound",11,0
"helped",22,8
"seated",9,2
"bed",104,12
"furnished",7,0
"mattress",15,0
"considering",9,2
"porfiry",9,0
"needed",22,3
"rise",26,2
"started",29,7
"_all_",6,0
"abandon",13,0
"unceasingly",6,0
"corners",7,0
"quivered",13,1
"protest",8,3
"longing",17,1
"longed",20,0
"significance",11,1
"tip",5,1
"approaching",11,0
"foretold",5,0
"implicitly",6,0
"hurried",20,11
"divided",9,2
"gazed",29,2
"hurrying",6,0
"entertained",5,1
"vision",5,1
"tapped",5,4
"misha",24,0
"wonderful",8,5
"usual",12,15
"performance",7,1
"spread",13,1
"wondering",23,4
"keen",12,1
"prophecy",5,0
"marked",18,4
"stones",20,0
"falls",8,0
"bet",9,0
"aback",8,8
"separately",7,0
"line",27,5
"crossed",21,5
"knife",14,0
"draw",19,5
"sensualist",7,0
"sensuality",6,0
"knocking",13,0
"despises",6,0
"despise",31,1
"openly",14,1
"sell",6,0
"humane",10,0
"deceive",9,0
"pushkin",7,0
"sung",5,0
"jerked",7,4
"malignantly",9,0
"escaped",13,3
"depths",10,0
"karamazovs",18,0
"writes",11,0
"fraud",7,0
"offers",8,1
"marry",58,7
"maybe",27,2
"conflict",7,0
"suit",9,2
"pocket",62,13
"beggar",14,1
"gypsy",7,0
"katya",76,0
"deserved",10,0
"fascinating",5,1
"confidently",10,4
"sharply",14,19
"frowning",17,3
"shows",13,0
"tempted",5,0
"haunted",15,2
"millions",10,0
"phrases",16,0
"twitched",6,0
"brains",7,1
"absurd",29,6
"scoundrels",5,0
"vulgar",8,3
"dreamed",9,3
"hot",23,5
"guess",13,6
"warmth",7,0
"indifferent",6,1
"dislike",10,1
"fools",9,0
"hinder",12,0
"build",9,2
"move",31,2
"upper",9,0
"lodgers",5,0
"bridge",8,2
"sarcastic",10,1
"mad",36,5
"kitchen",18,4
"priest",42,0
"dirt",7,0
"harlot",5,0
"intensely",12,1
"reasons",7,3
"waving",5,0
"swearing",5,0
"driving",16,1
"running",42,8
"exclamations",12,1
"impulse",19,2
"reached",50,4
"friendly",12,2
"argue",3,6
"win",7,0
"æsop",6,0
"claims",7,0
"wood",6,9
"excellent",26,7
"larger",5,0
"stained",16,0
"choice",6,0
"clean",18,8
"bread",58,1
"bottles",11,0
"wine",34,0
"glass",53,5
"vodka",17,0
"related",6,0
"fish",14,0
"ice",10,0
"resist",11,0
"peeping",9,0
"footing",11,0
"envious",6,0
"dishonorable",12,0
"unconscious",22,0
"highest",13,0
"stepped",10,7
"middle",22,6
"ascetic",5,0
"approached",10,0
"humbly",7,0
"pardon",10,6
"begged",29,0
"desires",15,1
"tirade",6,0
"recovered",15,3
"slight",10,7
"grace",11,3
"impossibility",7,0
"stupider",6,0
"revenge",16,0
"trick",15,0
"quietly",26,17
"gleamed",8,0
"sensation",13,1
"coachman",5,0
"moving",19,3
"doorway",10,5
"stared",25,28
"grotesque",6,0
"frame",5,0
"savage",18,0
"absolutely",26,10
"welcome",11,1
"stop",35,4
"puzzled",4,11
"killed",103,12
"robbed",12,0
"sang",7,2
"songs",9,0
"risen",7,0
"happening",7,2
"group",23,0
"de",15,1
"prefer",6,5
"damn",52,2
"wounded",16,0
"vanity",15,1
"sly",17,1
"act",30,8
"bit",54,3
"indignant",10,1
"mystery",31,10
"rumors",5,0
"charges",5,0
"bearing",7,4
"nerves",8,5
"ignominy",5,0
"slander",6,0
"confessing",7,1
"adding",5,0
"absurdity",8,0
"sayings",7,0
"tut",9,0
"gestures",5,0
"dagger",4,28
"saintly",5,0
"shutting",1,5
"farthing",14,0
"wringing",5,0
"fist",20,1
"bell",19,15
"gladly",6,0
"dishonored",5,0
"thyself",9,0
"rigmarole",6,0
"liqueur",8,0
"pillow",36,0
"trace",16,3
"hurry",33,3
"fellow",66,17
"punch",8,2
"flying",22,1
"angrily",23,2
"pause",11,6
"urged",7,2
"rot",7,1
"sullenly",5,1
"sententiously",8,0
"contemptuously",16,0
"roof",5,0
"lodge",22,9
"lock",5,7
"building",9,0
"smell",11,0
"winter",12,1
"courtyard",5,0
"marfa",57,0
"ignatyevna",30,0
"obeyed",5,1
"serfs",5,0
"shop",22,0
"whatever",35,17
"vassilyevitch",29,0
"firmly",45,5
"facing",16,2
"trustworthy",6,0
"sound",40,13
"thrashing",10,0
"morbid",8,0
"cruel",23,1
"insect",9,0
"throat",10,5
"overlook",5,0
"defend",27,0
"somebody",11,12
"irrelevant",6,3
"dejected",8,0
"wake",15,2
"fetch",9,3
"trivial",18,5
"matters",15,10
"sleep",39,4
"protected",7,0
"chanced",7,0
"weighing",9,0
"frivolity",5,0
"obedient",6,0
"complaint",5,0
"respected",18,3
"daily",4,6
"duties",10,4
"slightly",5,17
"dance",31,0
"green",12,5
"danced",9,0
"private",9,7
"theater",6,0
"taught",27,0
"lesson",5,0
"pulling",18,2
"born",9,8
"washed",5,0
"rewarded",5,0
"garden",83,8
"including",13,2
"briefly",8,2
"vaguely",7,3
"filling",5,0
"religion",9,0
"reading",34,7
"putting",22,6
"spectacles",9,1
"lent",10,0
"job",16,7
"persistently",10,0
"settled",14,1
"marvelous",14,0
"waked",23,0
"groaning",9,0
"groans",7,0
"locked",24,11
"fence",40,0
"lantern",7,0
"hysterical",27,0
"bathhouse",6,0
"idiot",15,0
"wandered",5,0
"streets",8,0
"stinking",14,0
