Word,Brothers_Karamazov,Murder_of_Roger_Ackroyd
"needs",5,1
"confirmed",19,2
"unpleasant",12,3
"suspicion",31,19
"smock",5,0
"welltodo",6,0
"spiteful",24,2
"usually",10,10
"cathedral",7,0
"porch",5,0
"governor",8,0
"breach",5,0
"occur",5,1
"tease",10,0
"houses",7,3
"roll",11,2
"market",13,0
"tasted",5,2
"water",53,6
"climbed",5,3
"hurdle",9,0
"accustomed",9,2
"returning",9,2
"club",1,6
"asleep",54,1
"unbridled",6,0
"animal",7,1
"sprang",2,6
"entertain",5,0
"emphatically",17,2
"swore",11,0
"grownup",12,0
"tale",7,1
"contradict",6,0
"officials",7,0
"wench",5,0
"fault",30,1
"asserted",6,1
"conjecture",5,0
"sounded",4,7
"arranged",5,3
"climb",9,2
"hinted",7,3
"dawn",13,1
"denying",7,0
"responsibility",5,4
"begins",9,0
"cook",13,4
"hoping",14,1
"tormenting",9,0
"hasten",12,0
"shouts",10,1
"produce",6,1
"tore",11,1
"sober",10,0
"cups",5,1
"axiom",5,0
"hesitation",6,3
"disturbed",2,15
"necessity",6,0
"painful",20,3
"badly",14,5
"sentiments",9,0
"resolutely",10,0
"marketplace",24,0
"scattered",11,0
"unreasonable",6,0
"belonging",8,2
"soup",19,0
"readily",8,1
"train",18,2
"mounted",6,2
"violently",14,1
"nearly",25,7
"joyful",12,0
"elbow",5,3
"whispered",36,2
"deserted",8,0
"tricks",8,0
"whispering",6,0
"repeating",14,2
"trees",5,2
"grass",7,1
"bushes",8,2
"summerhouse",13,6
"tradition",5,0
"retired",9,15
"decay",7,0
"bottle",28,1
"pig",8,0
"crush",13,0
"ruin",28,2
"gayly",14,0
"reflection",7,1
"thirsting",8,0
"tomorrow",115,6
"clouds",5,0
"enjoy",9,5
"enjoyment",5,1
"sky",13,0
"afternoon",5,21
"stillness",5,0
"cry",60,3
"gods",12,0
"ass",14,1
"german",13,0
"quarter",11,27
"1",48,358
"suspense",17,0
"enthusiasm",10,0
"naked",9,1
"waste",10,1
"plain",11,3
"woe",5,0
"fields",6,0
"bloodstained",10,0
"er",1,6
"melancholy",8,1
"degradation",10,0
"amount",2,8
"uniform",9,0
"cling",7,0
"riddle",9,0
"poem",18,0
"reformed",8,0
"headlong",9,0
"degrading",8,0
"accursed",12,0
"vile",12,0
"base",20,0
"creation",15,0
"cup",11,2
"breathe",8,0
"birds",18,1
"poetry",15,0
"stir",8,0
"sets",8,0
"contradictions",5,0
"mysteries",5,0
"dry",12,6
"skin",9,1
"ends",10,1
"sodom",5,0
"innocence",10,2
"immense",6,7
"talks",13,1
"ache",5,1
"threw",42,7
"gypsies",6,0
"greedily",9,0
"main",5,2
"vice",8,0
"cruelty",8,0
"dances",8,0
"glowed",11,0
"cherished",9,1
"boast",9,0
"blushing",11,0
"_à",6,0
"quarreling",9,0
"hush",20,1
"devour",5,0
"tragedy",16,3
"reproached",9,1
"lieutenant",5,0
"refusing",7,1
"treat",9,0
"kindhearted",7,0
"agafya",22,0
"stout",7,0
"cheerful",22,2
"friendship",5,3
"talent",7,0
"freely",11,3
"offered",23,2
"fashionable",7,0
"connections",5,0
"wildly",9,0
"measure",16,0
"compressed",5,0
"miss",8,160
"lieutenantcolonel",6,0
"arrest",20,1
"accounts",9,0
"tail",15,0
"enemies",18,0
"kicked",8,1
"ordered",19,1
"4",10,2
"scared",10,0
"soldier",12,0
"unless",9,3
"scoundrel",84,5
"creatures",20,0
"adored",6,0
"major",2,51
"dr",2,52
"lend",8,0
"widower",7,0
"loan",6,1
"confined",5,0
"towel",19,0
"busy",4,7
"loaded",9,0
"gun",5,0
"bullet",9,0
"boot",5,1
"chest",21,3
"suspicions",5,1
"peeped",11,0
"flung",46,3
"hit",19,2
"dusk",5,0
"brushed",6,0
"grasped",10,1
"lines",18,1
"agitation",12,2
"bitten",7,1
"fever",28,0
"venomous",6,0
"honorably",5,0
"kick",8,0
"shopman",6,0
"madam",29,0
"oath",7,0
"seconds",13,0
"frozen",12,1
"drawer",4,7
"folded",8,2
"horribly",14,1
"sheet",10,4
"impetuously",5,1
"sword",12,0
"stabbed",5,5
"frightfully",5,0
"delight",32,0
"kill",104,4
"oneself",7,0
"thick",16,6
"adventure",5,2
"pulled",57,9
"closed",15,16
"concluded",22,2
"envelope",87,7
"addressed",15,0
"pencil",6,1
"mark",5,3
"produced",14,8
"sooner",9,1
"brain",27,2
"blue",23,14
"paper",36,14
"k",5,1
"lightning",5,0
"nearest",5,0
"clutched",11,0
"post",8,5
"speechless",6,0
"madly",6,0
"referred",8,2
"borne",5,0
"pen",7,2
"staring",14,6
"involuntarily",13,0
"swear",38,5
"heavenly",11,0
"monster",30,0
"preferred",6,3
"rejected",13,0
"hint",10,1
"accomplished",8,1
"alley",5,1
"backalley",5,0
"beloved",8,0
"free",41,4
"wrung",6,1
"mighty",10,0
"sends",13,0
"compliments",15,0
"mournfully",10,1
"clasping",8,0
"strike",10,3
"merciless",6,1
"stayed",17,4
"mokroe",60,0
"champagne",31,0
"fury",23,1
"office",8,7
"receipt",8,0
"uncontrolled",5,0
"shoot",14,1
"samovar",9,0
"packed",6,0
"sealed",7,0
"tied",5,0
"foma",8,0
"tchermashnya",39,0
"timber",5,0
"arrange",10,4
"jumping",12,1
"insane",7,0
"providence",8,2
"midnight",12,0
"prevent",18,2
"murdered",76,11
"ugly",14,1
"thoughtfully",9,15
"material",26,0
"armchair",7,4
"sleeping",10,1
"bench",28,1
"hall",16,35
"coffee",16,7
"join",10,2
"cupboard",11,1
"shelf",5,0
"beaming",9,1
"eaten",7,0
"bravo",11,0
"remarkably",5,0
"2",5,5
"teaching",14,0
"created",21,2
"moon",7,1
"stars",10,1
"thunderstruck",6,0
"epilepsy",5,0
"humor",11,0
"remedies",5,0
"month",72,2
"violence",10,0
"severe",8,1
"upstairs",8,11
"fifteen",60,2
"bookcase",8,1
"funny",13,4
"lackey",7,0
"smaragdov",6,0
"reported",9,0
"gradually",20,0
"examine",6,4
"meat",9,1
"ate",8,2
"ach",12,0
"yellow",15,0
"inclination",6,0
"calf",5,0
"polish",17,0
"firstrate",5,0
"cooked",6,0
"absolute",14,0
"confidence",17,9
"muddy",5,0
"hundredrouble",13,0
"search",12,2
"pockets",12,0
"contemplation",5,0
"solitude",11,0
"shoes",5,22
"impressions",8,3
"newspaper",5,5
"prisoner",169,1
"threatened",8,1
"tortured",25,0
"praising",6,0
"flock",16,0
"grinning",5,1
"loud",27,2
"emergency",5,1
"knee",11,5
"rascal",8,0
"burst",31,8
"consider",27,4
"race",8,2
"obvious",11,5
"satisfaction",15,4
"answering",5,7
"pretending",6,3
"scold",5,0
"relieved",6,1
"responsible",23,4
"denied",9,0
"unclean",9,0
"punish",18,0
"almighty",5,1
"dies",6,0
"parents",7,0
"orator",8,0
"emptied",7,0
"jesuits",9,0
"jesuit",6,0
"vanquished",5,0
"sea",6,2
"delay",10,4
"bidding",8,0
"agree",37,6
"gravely",13,15
"gold",18,10
"tortures",6,0
"dread",17,1
"mortal",5,0
"gossip",8,11
"public",39,5
"destroyed",11,2
"measured",6,0
"c",10,4
"est",12,4
"wit",7,0
"eh",29,19
"stuff",6,6
"silver",5,25
"tree",6,1
"rude",9,1
"piron",6,0
"pretend",11,5
"tells",18,6
"tea",30,6
"despised",15,0
"contemptuous",11,1
"ugh",7,0
"aches",5,2
"discover",5,5
"fascinated",7,0
"masters",12,0
"slaves",5,0
"maid",13,3
"crawl",6,0
"reduced",5,1
"mild",6,2
"sheep",5,0
"knocked",34,2
"knock",16,0
"heap",7,0
"flashing",18,0
"noise",9,1
"screamed",13,0
"double",8,0
"doors",7,0
"stretching",7,0
"wide",16,4
"scream",25,3
"pushed",9,8
"dashed",6,0
"ringing",21,1
"outright",8,2
"shrieked",11,0
"stealing",8,2
"moaned",11,1
"madman",10,0
"breathlessly",5,0
"protect",12,0
"beware",5,1
"undressed",7,0
"wet",10,2
"blows",13,0
"removed",13,4
"gloomily",12,3
"forbid",9,0
"reptile",9,0
"screen",14,0
"headache",6,0
"lookingglass",8,0
"swollen",14,0
"sorrowfully",6,0
"beast",28,0
"wish",16,18
"murdering",15,2
"shattered",6,0
"depth",6,0
"aunts",7,0
"silk",6,3
"chocolate",6,1
"candles",9,0
"supposing",7,7
"haughty",10,0
"plainly",14,7
"conceal",15,8
"confident",8,1
"spontaneous",5,0
"energy",7,0
"exceptional",9,0
"accidentally",6,1
"walking",21,10
"phrase",20,0
"tormented",15,0
"fantastic",15,0
"agrafena",41,0
"alexandrovna",39,0
"curtain",13,0
"movements",6,0
"softened",6,0
"shawl",6,0
"pink",11,1
"trifle",5,1
"lip",6,0
"magnificent",9,5
"eyebrows",1,9
"childlike",6,0
"confiding",6,1
"certainty",5,0
"appear",17,1
"regretfully",3,5
"drawled",10,0
"ecstatically",7,1
"sacrificed",10,0
"wretched",10,2
"protector",9,0
"agony",12,0
"inside",11,16
"rapture",13,0
"blush",6,2
"sale",7,0
"working",10,3
"distorted",9,0
"sobbed",8,0
"convulsions",6,0
"warned",10,1
"scaffold",9,0
"ached",7,0
"morrow",11,0
"mile",3,6
"ahead",5,4
"halfway",5,0
"savagely",9,0
"ha",39,0
"fright",13,0
"wind",11,9
"dumb",10,1
"raving",10,0
"sensations",8,0
"rigid",9,0
"concentrated",8,0
"tightly",6,1
"parted",9,4
"literally",8,0
"exclaiming",8,0
"discovery",3,5
"recklessness",6,0
"defiance",7,2
"_her_",5,0
"disgrace",34,1
"store",6,0
"compare",6,2
"brass",15,0
"astray",8,0
"disputes",5,0
"accused",16,6
"rebellious",6,0
"agreed",24,21
"safe",6,0
"lovingly",5,0
"foreseen",8,0
"resolved",19,0
"stirring",7,2
"breathing",8,1
"covering",6,0
"untroubled",5,0
"nasty",20,5
"horrid",6,2
"p",7,1
"turbulent",5,0
"art",19,0
"murmured",22,31
"tired",10,2
"extreme",18,1
"filled",21,1
"daylight",6,0
"grows",8,3
"thus",7,4
"disdainful",5,0
"banner",8,0
"raise",15,0
"disconnectedly",6,0
"recover",5,0
"devout",7,1
"marvel",7,0
"summoned",5,2
"fulfilled",7,0
"receiving",12,1
"hoped",11,7
"embrace",12,1
"writer",5,1
"inform",9,2
"listeners",6,0
"st",5,0
"apiary",5,0
"fasting",10,0
"shared",5,0
"hut",12,0
"pounds",4,32
"abrupt",3,5
"induce",7,1
"chiefly",8,0
"communication",6,1
"slippers",5,0
"dropping",5,2
"pieces",14,5
"whilst",1,12
"inquisitive",9,0
"rules",5,0
"friday",3,15
"food",5,2
"easter",6,0
"nowadays",8,9
"timidly",13,0
"sunday",7,3
"crack",8,0
"squealed",5,0
"struggle",8,1
"reveal",7,2
"speaks",7,2
"shape",8,1
"snatch",6,1
"prejudice",14,0
"detected",6,1
"fro",9,2
"closing",5,1
"weary",6,0
"analysis",6,1
"steadfast",7,1
"subtlety",6,0
"result",7,5
"reflections",6,0
"guard",14,1
"strongest",6,2
"anxiously",14,1
"hospital",18,0
"pacing",5,0
"cotton",9,0
"paradise",13,0
"philosophy",8,0
"proceedings",5,1
"hears",8,3
"poured",10,1
"drank",16,3
"spy",9,0
"square",6,4
"ditch",5,0
"nine",16,38
"wear",7,2
"satchel",6,0
"premeditation",6,0
"instinct",6,2
"throws",8,0
"smurov",55,0
"incessantly",6,0
"tales",5,0
"wisp",17,0
"tow",18,0
"killing",11,0
"chimed",9,1
"trousers",10,0
"weighed",6,0
"inquiringly",3,5
"vindictive",12,0
"pain",17,1
"distance",27,2
"serenity",5,0
"tearful",5,1
"lucky",4,7
"_c",7,0
"ruining",6,0
"presently",1,7
"feverish",9,0
"moaning",9,0
"yulia",10,0
"exceedingly",6,5
"rag",18,0
"soaked",9,0
"lint",5,0
"fuss",7,3
"bears",6,0
"cellar",21,0
"hunting",8,0
"fight",10,0
"pounced",8,0
"fortunate",5,3
"lift",6,1
"monstrous",6,0
"rivalry",7,0
"rival",21,2
"waking",6,0
"blunt",1,126
"submit",8,0
"reproachfully",6,1
"importance",24,11
"depended",7,1
"midst",6,2
"aiming",5,0
"joyfully",13,0
"_him_",6,0
"approve",6,0
"subdued",6,0
"calm",15,0
"insist",9,0
"frenzy",20,0
"treachery",9,0
"suffered",10,0
"comment",6,2
"eagerness",8,0
"desperate",20,1
"consciousness",13,0
"source",6,2
"intention",9,4
"ironically",7,0
"dreadfully",13,2
"contorted",6,0
"corrected",8,1
"impulsively",13,2
"seizing",5,0
"desperately",5,1
"explaining",5,1
"astonished",5,1
"ring",6,14
"torturing",8,0
"realizing",6,0
"guilty",52,8
"hasty",5,0
"unjust",7,1
"victim",12,3
"snegiryov",23,0
"clerk",8,0
"lake",14,0
"plot",5,0
"remorse",10,2
"screaming",9,0
"commission",10,1
"grieved",8,0
"hundredth",5,0
"sensible",18,0
"hungry",9,0
"positive",17,4
"accordance",10,0
"stove",7,0
"pillows",8,0
"rough",4,7
"remains",7,0
"speaker",5,0
"questioning",10,4
"neatly",1,5
"sad",15,0
"crippled",8,0
"hastily",7,5
"wiping",6,1
"darted",10,0
"varvara",12,0
"retreat",6,0
"quivering",16,0
"crumpled",6,3
"sir",65,74
"nikolay",109,0
"ilyitch",95,0
"involuntary",5,0
"blurted",6,0
"vengeance",9,0
"twitching",7,2
"attacked",7,1
"metropolis",11,1
"peremptorily",6,0
"modest",12,2
"inquiring",7,1
"swallowed",8,1
"officers",8,4
"excellency",11,0
"spoil",7,0
"lonely",6,1
"nina",18,0
"suggestion",10,3
"weakminded",5,0
"feed",11,0
"3",12,4
"papers",10,17
"delirious",12,0
"coward",9,0
"wave",5,2
"buy",10,2
"cart",33,0
"cover",9,1
"enchanted",6,0
"depressed",16,0
"tight",14,0
"credit",8,0
"encouraged",6,2
"misfortune",9,0
"rainbowcolored",7,0
"persuading",5,0
"examining",9,1
"baths",5,0
"medicine",14,1
"dissolved",5,0
"lawyer",41,13
"flinging",11,1
"gasping",6,0
"fling",7,1
"success",10,3
"cheer",9,0
"luckless",9,0
"sore",7,0
"concealed",18,3
"difficulties",3,5
"situation",2,5
"humiliating",10,0
"triumphant",7,2
"worked",14,3
"snatched",21,0
"_he_",9,0
"waistcoat",8,0
"meanness",6,0
"spying",8,0
"worrying",11,0
"unthinkable",5,0
"stairs",7,12
"staircase",3,9
"sigh",7,2
"downstairs",11,2
"definitely",5,0
"accompanying",5,1
"song",12,3
"politely",7,5
"verses",5,0
"wealth",5,0
"marya",37,0
"kondratyevna",29,0
"shot",25,5
"names",5,3
"rebelling",6,0
"institutions",5,0
"gentlemanly",6,0
"folks",5,0
"polished",5,2
"luck",12,2
"restaurant",5,0
"brave",9,0
"lisped",5,0
"passes",8,3
"odd",3,17
"landlady",15,0
"billiard",1,12
"jam",5,2
"rang",8,11
"logic",7,0
"universe",9,0
"seventy",5,0
"shadow",7,3
"minutely",6,0
"questioned",16,0
"roared",12,0
"boasting",6,0
"torments",8,0
"loathe",5,0
"momentary",4,5
"orders",16,5
"n",8,2
"pas",5,1
"wise",14,9
"hypothesis",5,1
"omit",6,1
"philosophers",5,0
"pitiful",8,0
"stupidly",7,0
"dreamily",5,0
"merciful",5,0
"tenth",5,0
"committed",41,7
"turks",7,0
"amusement",8,1
"planned",11,0
"pistol",15,0
"collection",6,0
"movement",16,1
"richard",11,1
"philanthropic",5,0
"aristocratic",6,0
"embraced",5,0
"forbidden",9,1
"judges",22,0
"brotherly",9,0
"distributed",8,0
"load",8,0
"mercilessly",5,0
"client",16,0
"jury",58,0
"favorable",12,0
"verdict",10,0
"acquitted",11,0
"chain",8,1
"frost",12,0
"smeared",5,0
"serfdom",10,0
"hundreds",7,1
"lame",5,0
"pack",11,1
"crust",5,0
"follows",5,3
"unfair",6,0
"soil",5,0
"understands",10,1
"solidarity",5,0
"dogs",12,0
"price",7,1
"creating",7,0
"clerks",5,0
"reign",6,0
"et",6,3
"required",6,0
"_the",9,0
"wanderings",5,0
"prophet",5,0
"heretics",7,0
"wandering",8,0
"silently",6,0
"blind",11,9
"hosannah",10,0
"perplexed",5,0
"dost",8,0
"stake",8,0
"faintest",5,0
"fantasy",5,1
"corrupted",5,0
"answers",7,2
"rebels",6,0
"wilderness",9,0
"restore",6,0
"invent",5,2
"priests",5,0
"bought",12,0
"underground",10,0
"declaring",7,0
"inconceivable",7,0
"seeks",7,0
"hereafter",6,0
"proudly",7,0
"based",7,1
"bathed",5,0
"elect",9,0
"preach",5,0
"cæsar",5,0
"unity",6,0
"nations",6,0
"subdue",6,0
"fierce",13,0
"minds",11,0
"helpless",10,0
"madness",8,0
"restrained",7,1
"mere",10,4
"admission",5,1
"mockery",6,0
"geese",5,0
"shake",15,5
"incomplete",6,0
"actual",12,2
"criticism",12,0
"dash",9,0
"declaration",6,0
"america",17,4
"dejection",5,0
"depression",6,1
"trifling",5,1
"illhumored",5,0
"loathed",5,0
"miserable",12,2
"insistently",5,0
"philosophical",5,0
"secondary",5,0
"winked",5,0
"satisfying",7,0
"parent",8,0
"depend",5,3
"accomplice",10,2
"signals",27,0
"signal",18,0
"knocks",9,0
"louder",8,1
"wakes",5,0
"depends",5,4
"ribbon",9,0
"chicken",9,1
"reflect",6,1
"rouble",15,0
"hates",5,1
"responded",5,0
"awake",12,0
"reflecting",7,0
"recalling",5,0
"trunk",7,1
"departure",8,2
"bag",25,9
"recollection",5,1
"station",18,18
"volovya",11,0
"railway",8,3
"tonight",4,15
"gorstkin",7,0
"damned",7,1
"lunch",2,10
"loss",10,3
"bored",9,0
"rolled",7,1
"floated",6,0
"galloped",6,0
"epileptic",13,0
"shock",5,6
"leg",14,0
"careful",14,7
"examination",17,0
"surged",6,0
"glances",5,0
"seventeen",8,0
"determine",5,0
"quarreled",8,0
"sixth",8,0
"appreciate",7,2
"robbers",6,0
"murderers",5,2
"exclaim",6,0
"beckoned",5,0
"b",5,0
"bible",5,0
"desk",1,12
"boasted",5,0
"gladness",12,0
"satan",14,0
"torment",10,1
"harassed",5,0
"lain",5,0
"eighteen",9,1
"hushed",5,1
"sinless",6,0
"yonder",5,0
"habits",7,2
"surface",8,1
"bachelor",5,0
"conceit",5,0
"revengeful",7,0
"5",6,2
"vast",9,0
"afanasy",8,0
"recall",9,1
"fired",11,0
"bloodshed",5,0
"middleaged",10,0
"excessive",6,0
"acquainted",6,1
"comprehend",7,6
"psychological",8,1
"isolation",8,0
"isolated",5,0
"successful",1,5
"threatening",5,0
"arrested",12,7
"theft",8,1
"stolen",34,5
"strain",5,8
"proofs",11,0
"inquisitively",5,0
"detail",26,3
"horrified",6,0
"proved",16,7
"danger",8,1
"doctors",14,0
"induced",6,1
"investigate",2,6
"insanity",10,1
"gasped",10,2
"yearning",7,0
"mihail",25,0
"e",27,1
"envy",7,0
"talented",13,0
"grain",8,0
"ray",5,0
"animals",5,1
"sweets",10,0
"sounds",3,5
"worlds",7,0
"overwhelming",8,0
"timidity",5,0
"manuscript",2,8
"stretched",14,4
"corpse",7,0
"bodies",5,0
"wipe",6,0
"conspicuous",8,0
"omitted",5,0
"decomposition",6,0
"disorder",8,1
"jealousy",29,0
"aspect",6,2
"bones",5,1
"premature",6,0
"excess",5,2
"bells",9,0
"convictions",5,0
"nodding",4,7
"terrorstricken",6,0
"directions",6,0
"paused",6,25
"advised",5,0
"sympathetic",6,1
"performing",5,0
"leaned",6,5
"sausage",6,0
"reminded",8,5
"morozov",9,0
"motionless",11,0
"fenya",65,0
"kuzmitch",20,0
"curtains",8,8
"gallery",6,0
"ech",11,0
"remind",9,3
"cur",5,0
"tray",4,10
"glasses",10,6
"clutches",7,0
"realize",5,11
"snarled",7,0
"concealing",4,8
"mournful",6,0
"timofey",10,0
"pole",53,0
"damnation",5,0
"disturbing",5,1
"_and",5,0
"feast",12,0
"saith",7,0
"missing",4,6
"wedding",6,4
"couple",6,2
"distinct",5,2
"echoed",5,0
"lodgings",7,1
"sinking",6,0
"possibility",10,6
"degrees",15,0
"solution",2,5
"appropriated",6,0
"rob",5,0
"inheritance",18,1
"obtained",6,4
"uncertain",5,0
"wreck",1,6
"purposely",5,1
"closely",9,4
"summons",1,5
"ventured",7,2
"additional",5,0
"hopelessly",6,2
"lawyers",36,0
"faltered",19,0
"strode",6,2
"alternative",6,3
"correct",4,6
"threat",5,0
"speed",5,1
"borrowed",7,1
"landlord",12,0
"forester",14,0
"strides",5,0
"trifles",9,0
"length",8,3
"brightly",6,0
"fussing",5,1
"faithlessness",5,0
"element",5,0
"specialist",6,0
"borrow",7,1
"reactionary",5,0
"demanded",2,10
"gait",5,0
"generously",8,0
"collar",5,4
"aie",9,0
"spat",10,0
"remove",5,2
"pestle",41,0
"dressinggown",8,0
"studs",1,7
"carelessly",8,0
"horrible",11,4
"foreseeing",5,0
"examined",16,3
"skull",11,0
"readiness",5,1
"bundle",16,0
"walks",5,2
"indicated",2,5
"plotnikov",8,0
"dozen",12,1
"pies",10,0
"astounding",9,0
"cuff",5,0
"pledged",9,0
"mines",10,1
"phœbus",5,0
"powder",15,1
"provisions",9,2
"andrey",39,0
"etc",6,0
"whipped",7,0
"pressing",7,0
"smartly",6,0
"whip",6,0
"inn",6,4
"cards",22,3
"lashed",5,0
"innkeeper",6,0
"trifon",45,0
"borissovitch",39,0
"chorus",8,0
"pipe",12,0
"_panie_",31,0
"poles",30,0
"disposal",5,1
"grasp",7,1
"cavalry",5,0
"_pan_",8,0
"_lajdak_",5,0
"_pani_",11,0
"agrippina",5,0
"poland",10,0
"amuse",9,1
"charged",6,2
"_panovie_",9,0
"pan",28,1
"vrublevsky",24,0
"hurrah",6,0
"podvysotsky",9,0
"exclamation",6,1
"tremendously",5,0
"provide",8,1
"everyone",1,19
"incoherently",8,0
"cowardly",5,0
"goose",18,7
"cambric",1,7
"grusha",18,0
"snow",19,3
"loudly",8,0
"makarovitch",21,0
"investigating",31,0
"inspector",2,170
"mavriky",11,0
"mavrikyevitch",11,0
"der",13,0
"vital",6,4
"nowhere",5,2
"amazing",9,4
"varvinsky",10,0
"ippolit",43,0
"kirillovitch",41,0
"constantly",7,1
"psychology",13,1
"appreciated",5,0
"parfenovitch",103,0
"interrogation",5,0
"secretary",8,23
"accusation",7,1
"elbows",5,0
"description",4,8
"method",10,10
"principle",5,1
"bother",7,1
"exasperated",8,1
"trial",51,0
"coldly",1,7
"romance",15,0
"commented",5,5
"composed",5,1
"counted",5,2
"stated",14,0
"sewed",10,0
"socks",5,0
"puppy",10,0
"mission",5,0
"recovery",5,0
"sewn",7,0
"appropriate",5,0
"calculating",6,0
"attend",3,7
"entrusted",7,1
"squandered",10,0
"expenses",5,1
"rain",6,0
"protocol",11,0
"mussyalovitch",9,0
"prosecution",21,0
"chap",3,7
"edge",5,1
"execution",6,0
"guilt",27,3
"dardanelov",17,0
"pranks",6,0
"troy",17,0
"scrape",5,2
"perezvon",47,0
"shaggy",5,0
"jeered",5,0
"kids",11,0
"whistle",5,8
"nastya",10,0
"kostya",10,0
"cannon",17,0
"gunpowder",5,0
"_ici_",6,0
"zhutchka",24,0
"mastiff",6,0
"sabaneyev",11,0
"tchizhov",12,0
"assume",7,1
"brick",5,1
"kartashov",7,0
"discovered",7,20
"latin",6,0
"displaying",5,0
"7",5,2
"bury",5,0
"thinner",5,0
"maximushka",5,0
"speeches",7,0
"queried",3,6
"fetyukovitch",55,0
"expert",3,5
"paragraph",18,5
"typical",6,0
"aberration",20,0
"acquit",7,0
"pineapple",5,0
"_compote_",5,0
"nodded",4,49
"uncertainly",2,5
"ethics",5,0
"bernard",11,0
"affections",5,0
"document",13,0
"shamming",7,0
"sham",10,0
"faculties",6,0
"providing",5,0
"ax",9,0
"cleverly",6,1
"accident",1,6
"thinker",5,0
"quadrillion",10,0
"kilometers",5,0
"8",6,1
"eloquence",9,2
"le",2,6
"hanged",9,0
"local",3,12
"president",59,0
"objected",2,5
"usher",9,0
"list",2,8
"acquittal",6,0
"alleged",5,0
"svyetlov",11,0
"patients",2,15
"_gott",10,0
"uncle",1,41
"crossexamination",5,0
"program",7,0
"9",5,7
"access",11,1
"extremes",6,0
"natures",5,0
"precaution",5,3
"acquiesced",1,5
"limitation",5,0
"poisons",1,7
"tribune",9,0
"scrap",2,12
"limited",6,1
"chariot",5,0
"american",3,6
"flower",5,1
">",1,39
"file",5,0
"archive",14,0
"copyright",19,0
"distribute",6,0
"distributing",7,0
"gutenberg™",57,0
"electronic",27,0
"trademark",11,0
"ebooks",9,0
"copies",7,0
"distribution",6,0
"comply",6,0
"section",7,0
"fee",8,0
"refund",10,0
"pglaf",5,0
"compliance",5,0
"org",7,0
"posted",5,1
"web",6,0
"tax",6,0
"donations",15,0
"f",10,0
"replacement",5,0
"volunteers",6,0
"necessarily",1,5
"roger",0,56
"ackroyd",0,387
"sheppard",0,75
"mrs",0,154
"ferrars",0,59
"caroline",0,226
"james",0,38
"placidly",0,5
"poisoned",0,6
"paddock",0,5
"annie",0,8
"parlourmaid",0,18
"veronal",0,5
"someone",0,32
"\bu",0,35
"ashley",0,5
"inquest",0,8
"abbot",0,25
"cranchester",0,20
"fernly",0,50
"park",0,19
"squire",0,8
"london",0,6
"paton",0,120
"twenty-five",0,7
"stepfather",0,12
"ralph",0,192
"russell",0,59
"cecil",0,5
"surgery",0,11
"ntiu",0,6
"housekeeper",0,20
"housemaid",0,6
"vegetable",0,5
"marrows",0,5
"boars",0,16
"flora",0,185
"neighbour",0,9
"larches",0,11
"porrott",0,6
"profession",0,5
"hairdresser",0,7
"monsieur",0,15
"encouragingly",0,9
"gannett",0,43
"decidedly",0,5
"half-past",0,12
"parker",0,150
"butler",0,19
"raymond",0,107
"drawing-room",0,12
"handle",0,12
"grey",0,13
"colour",0,10
"tm",0,6
"terrace",0,22
"lid",0,10
"charles",0,23
"nt",0,20
"hector",0,15
"totally",0,5
"geoffrey",0,20
"blackmailing",0,5
"-1",0,8
"telephone",0,23
"car",0,7
"lobby",0,8
"hesitatingly",0,6
"doubtfully",0,5
"disarranged",0,5
"constable",0,11
"footmarks",0,5
"rubber",0,6
"nine-thirty",0,19
"clue",0,5
"goodnight",0,6
"nfc",0,8
"davis",0,8
"blackmail",0,13
"\t",0,6
"melrose",0,20
"fingerprints",0,10
"hercule",0,21
"poirot",0,456
"nfes",0,7
"raglan",0,51
"docteur",0,5
"mademoiselle",0,46
"twinkle",0,5
"10",0,6
"liverpool",0,18
"dictaphone",0,26
"belgian",0,5
"hammond",0,21
"cells",0,8
"elsie",0,10
"dale",0,7
"ursula",0,56
"bourne",0,27
"summer-house",0,23
"hastings",0,7
"quill",0,12
"goldfish",0,6
"pond",0,12
"cleared",0,7
"r",0,5
"bills",0,5
"drily",0,15
"folliott",0,8
"alibi",0,13
"blackmailer",0,5
"bien",0,10
"reunion",0,6
"blackmailed",0,6
"cocaine",0,6
"experiment",0,8
"mah",0,12
"jong",0,13
"carter",0,9
"tiles",0,5
"shanghai",0,5
"pung",0,6
"chow",0,9
"ellerby",0,9
"drugs",0,5
"kent",0,33
